libelleparcours;libellepointorigine;libellepointdestination;idtempsparcoursvlentree;idtempsparcoursvlsortie;metaparcours;idmetaparcourspereentree;idmetaparcoursperesortie;longueur;tempsparcoursentree;tempsparcourssortie;vitesseentree;vitessesortie;lat_epsg4171;long_epsg4171;observation;gid
BerthelotEtatsUnis / Monplaisir;Berthelot EtatsUnis;Monplaisir;285;;False;;;1800;240;;27,00;;45.74580999966608;4.863830000329632;;172
PortedeGerland_PortedesÉtatsUnis;Porte de Gerland;Porte des États-Unis;36;136;False;1026;1027;2300;120;120;70,00;70,00;45.7175021967987;4.860979384044968;;53
PortedesÉtatsUnis_PortedesEssarts;Porte des États-Unis;Porte des Essarts;37;137;False;1026;1027;2200;120;120;66,00;66,00;45.722042784368085;4.886847395026522;;54
Meyzieu / Genas;Meyzieu;Genas;75;175;False;;;3000;180;180;60,00;60,00;45.739599999589394;5.024059999370758;;113
Saint Genis (RD486) / Oullins (Grande Rue);Saint Genis (RD486);Oullins (Grande Rue);323;324;False;;;2200;300;300;26,40;26,40;45.711279999655886;4.801439999635295;;202
PortedeGerland_PontPasteur;Porte de Gerland;Pont Pasteur;49;149;False;;;3500;360;360;35,00;35,00;45.72656562211997;4.832741116392661;;71
Saint-Laurent-de-Mure / Satolas;Saint-Laurent-de-Mure;Satolas;62;162;False;;;2800;120;120;84,00;84,00;45.68765999988499;5.058710000313715;;98
Porte de Rochecardon / Porte de Saint-Clair;Porte de Rochecardon;Porte de Saint-Clair;78;178;False;1038;1039;3800;180;180;80,00;80,00;45.792350000160965;4.835180000321731;;116
PortedesEssarts_BdTchécoslovaques;Porte des Essarts ;Bd des Tchécoslovaques;16;116;False;1012;1013;3600;420;480;30,80;25,30;45.73363900135409;4.878188000779838;;27
PortedesEssarts_PortedelaSoie;Porte des Essarts;Porte de la Soie;38;138;False;1026;1027;3900;180;180;78,00;78,00;45.745223272355695;4.906374796058981;;55
Brignais_PontduRhône;Brignais;Pont du Rhône;33;133;False;1024;1025;5800;240;240;87,00;87,00;45.68506999998717;4.806589001152879;;22
Meyzieu / Cordeliers;Meyzieu;Cordeliers;1006;1007;True;;;16700;1020;1020;60,00;67,50;45.78996460018253;4.904668893422808;;47
EtoileAlaï_Ménival;Etoile d'Alaï;Ménival;28;128;False;1020;1021;1200;120;120;36,00;36,00;45.75420400114325;4.777528000685936;;19
PortedeLyon_PorteduValvert;Porte de Lyon;Porte du Valvert;2;102;False;1000;1001;6400;240;240;96,00;96,00;45.79389200050761;4.780605001652271;;2
Anse_Stgermainmontdor;Anse;St-Germain-Mt-d’Or;21;121;False;1018;1019;9000;540;540;60,00;60,00;45.917847000267095;4.7671690009885745;;10
Montée de la boucle / Perrache;Montée de la boucle;Perrache;1010;1011;True;;;4600;420;420;39,43;39,43;45.768608001088324;4.83782999989161;;36
Garibaldi / AccesA6/A7;Garibaldi;Acces A6/A7;201;;False;;;3100;360;;31,00;;45.74844000012268;4.843279999907842;;151
Lyon 9 (Bourgogne) / Limonest (RD306)  ;Lyon 9 (Bourgogne)  ;Limonest (RD306)  ;314;;False;;;3900;420;;33,43;;45.794279999817334;4.793389999673709;;196
Le Tupinier / Cordeliers (RD489);Le Tupinier;Cordeliers (RD489);1022;1023;True;;;14200;1320;1320;40,57;40,57;45.753928944033994;4.776441637595042;;41
PortedeCroix-Luizet_Transbordeur;Porte de Croix-Luizet;Transbordeur;12;112;False;1008;1009;3700;300;240;49,20;51,00;45.78732300032808;4.879622001605929;;23
Saint-Bonnet-de-Mure / Genas;Aéroport de Lyon-St Exupéry;Genas;74;174;False;;;4200;240;240;63,00;63,00;45.710659999873;5.027339999433092;;112
PontduRhône_PontdelaMulatière;Pont du Rhône;Pont de la Mulatière;5;105;False;1002;1003;4600;180;180;92,00;92,00;45.71114680911443;4.825810687801092;;44
LeTupinier_11novembre;Le Tupinier;Rue du 11 Novembre;30;130;False;1022;1023;2300;180;180;44,00;44,00;45.74737500103788;4.72838799999706;;17
 La Boisse / Beynost ; La Boisse;Beynost ;55;155;False;;;2900;120;120;87,00;87,00;45.82547999992893;5.009959999648504;;91
BerthelotTchecoslovaques / Vénissieux;Berthelot Tchecoslovaques;Vénissieux;292;;False;;;3300;300;;40,00;;45.73258999999344;4.864989999657168;;174
Pierre Benite (M7) / Saint Fons (A7);Pierre Benite (M7);Saint Fons (A7);303;304;False;;;2600;120;120;78,00;78,00;45.69469000012017;4.841679999618854;;190
GorgedeLoup / TCroixRousse;Gorge de Loup;Tunnel de la Croix Rousse;246;;False;;;1700;240;;25,50;;45.77268999995974;4.805410000116669;;165
PlaceCroixLuizet / Charpennes;Place Croix Luizet;Charpennes;209;;False;;;2100;240;;31,50;;45.77650000015056;4.873709999868859;;154
RN7SaintJean / TdeFourvière;RN7 Saint Jean ;Tunnel de Fourvière;217;;False;;;3300;360;;33,00;;45.76415000017425;4.784189999380931;;177
Quai Gillet /_Saxe Lafayette ;Quai Gillet ;Saxe/Lafayette ;86;;False;;;4100;480;;31,00;;45.773360000210324;4.827940000006027;;125
RoutedeStrasbourg / GarePartDieu;Route de Strasbourg;Gare Part-Dieu;182;;False;;;4063;420;;34,00;;45.77841000012343;4.859420000372986;;137
PortedeMontchat / GarePartDieu;Porte de Montchat ;Gare Part-Dieu;96;;False;;;4558;600;;28,00;;45.75450000045173;4.882000000198865;;136
La Tour-de-Salvagny / Cordeliers;La Tour-de-Salvagny;Cordeliers;1016;1017;True;;;15500;1200;1080;46,50;51,67;45.767508943713096;4.782537637650388;;39
Quai Gillet / Perrache;Quai Gillet;Perrache;84;;False;;;4700;660;;26,00;;45.76818000016132;4.822159999413419;;123
Saint-Laurent-de-Mure / Aéroport de Lyon-St Exupéry;Saint-Laurent-de-Mure ;Aéroport de Lyon-St Exupéry;65;165;False;;;3600;180;180;72,00;72,00;45.708819999988854;5.071349999795329;;103
Dardilly (Guy Collongue) / Ecully (Guy Collongue);Dardilly (Guy Collongue);Ecully (Guy Collongue);315;316;False;;;3000;300;300;36,00;36,00;45.787479999607854;4.764849999606439;;198
Pont Gallien / Porte de  Gerland;Pont Galliéni;Porte de  Gerland;81;;False;;;5000;660;;27,00;;45.726619999910056;4.831600000554831;;121
La Tour-de-Salvagny_PorteduValvert;La Tour-de-Salvagny;Porte du Valvert;20;120;False;1016;1017;9500;720;660;47,50;50,00;45.78280600140133;4.7499610002375405;;29
Pusignan / Saint-Laurent-de-Mure;Pusignan;Saint-Laurent-de-Mure;61;161;False;;;9500;300;300;114,00;114,00;45.723749999678866;5.096309999489455;;97
